地区,时间,天气,温度,风向,风级
拉萨,15日02时,中雨,15℃,无持续风向,<3级
西宁,08日08时,阴,13℃,南风,<3级
西宁,08日11时,小雨,18℃,南风,<3级
西宁,08日14时,小雨,19℃,南风,3-4级
西宁,08日17时,小雨,18℃,南风,<3级
西宁,08日20时,小雨,16℃,南风,3-4级
西宁,08日23时,阵雨,15℃,西风,<3级
西宁,09日02时,阵雨,14℃,西风,<3级
西宁,09日05时,阵雨,14℃,西风,<3级
西宁,09日08时,多云,13℃,西风,<3级
西宁,09日11时,多云,17℃,西北风,<3级
西宁,09日14时,阵雨,19℃,西北风,<3级
西宁,09日17时,阵雨,20℃,西北风,<3级
西宁,09日20时,阵雨,16℃,西北风,3-4级
西宁,09日23时,阵雨,15℃,北风,3-4级
西宁,10日02时,阵雨,12℃,北风,<3级
西宁,10日05时,阵雨,12℃,北风,<3级
西宁,10日08时,多云,10℃,北风,<3级
西宁,10日11时,阴,15℃,东南风,<3级
西宁,10日14时,阴,18℃,东南风,<3级
西宁,10日17时,阴,18℃,东南风,3-4级
西宁,10日20时,阴,16℃,东南风,3-4级
西宁,10日23时,小雨,15℃,东南风,<3级
西宁,11日02时,小雨,13℃,东南风,<3级
西宁,11日05时,小雨,11℃,东南风,<3级
西宁,11日08时,中雨,10℃,东南风,<3级
西宁,11日14时,小雨,17℃,东南风,<3级
西宁,11日20时,小雨,15℃,东南风,<3级
西宁,12日02时,多云,13℃,北风,<3级
西宁,12日08时,多云,11℃,北风,<3级
西宁,12日14时,多云,13℃,东北风,<3级
西宁,12日20时,多云,13℃,东北风,3-4级
西宁,13日02时,多云,11℃,东北风,3-4级
西宁,13日08时,多云,9℃,东北风,<3级
西宁,13日14时,中雨,17℃,东南风,3-4级
西宁,13日20时,小雨,15℃,东南风,3-4级
西宁,14日02时,中雨,6℃,东南风,<3级
西宁,14日08时,小雨,3℃,东南风,<3级
西宁,14日14时,多云,13℃,东南风,3-4级
西宁,14日20时,多云,10℃,东南风,3-4级
西宁,15日02时,多云,5℃,东风,3-4级
兰州,08日08时,多云,17℃,东风,<3级
兰州,08日11时,多云,22℃,东风,<3级
兰州,08日14时,多云,25℃,东风,<3级
兰州,08日17时,多云,25℃,东风,<3级
兰州,08日20时,多云,22℃,东风,<3级
兰州,08日23时,阵雨,19℃,东风,<3级
兰州,09日02时,阵雨,16℃,东风,<3级
兰州,09日05时,阵雨,15℃,东风,<3级
兰州,09日08时,阴,15℃,东风,<3级
兰州,09日11时,多云,21℃,东北风,<3级
兰州,09日14时,多云,24℃,东北风,<3级
兰州,09日17时,多云,26℃,东北风,<3级
兰州,09日20时,多云,20℃,东北风,<3级
兰州,09日23时,多云,19℃,东南风,<3级
兰州,10日02时,晴,14℃,东南风,<3级
兰州,10日05时,晴,12℃,东南风,<3级
兰州,10日08时,晴,13℃,东南风,<3级
兰州,10日11时,晴,20℃,东风,<3级
兰州,10日14时,晴,23℃,东风,<3级
兰州,10日17时,多云,25℃,东风,<3级
兰州,10日20时,多云,21℃,东风,<3级
兰州,10日23时,多云,18℃,东南风,<3级
兰州,11日02时,多云,15℃,东南风,<3级
兰州,11日05时,多云,13℃,东南风,<3级
兰州,11日08时,小雨,13℃,东南风,<3级
兰州,11日14时,多云,19℃,东北风,<3级
兰州,11日20时,多云,19℃,东北风,<3级
兰州,12日02时,多云,13℃,东南风,<3级
兰州,12日08时,多云,14℃,东南风,<3级
兰州,12日14时,多云,23℃,东北风,<3级
兰州,12日20时,多云,21℃,东北风,<3级
兰州,13日02时,多云,15℃,东南风,<3级
兰州,13日08时,多云,15℃,东南风,<3级
兰州,13日14时,小雨,18℃,东北风,<3级
兰州,13日20时,中雨,18℃,东北风,<3级
兰州,14日02时,中雨,12℃,东北风,<3级
兰州,14日08时,小雨,12℃,东北风,<3级
兰州,14日14时,多云,19℃,北风,<3级
兰州,14日20时,多云,16℃,北风,<3级
兰州,15日02时,晴,11℃,南风,<3级
银川,08日08时,晴,17℃,无持续风向,<3级
银川,08日11时,晴,23℃,无持续风向,<3级
银川,08日14时,多云,26℃,无持续风向,<3级
银川,08日17时,多云,28℃,无持续风向,<3级
银川,08日20时,多云,23℃,无持续风向,<3级
银川,08日23时,多云,21℃,无持续风向,<3级
银川,09日02时,多云,20℃,无持续风向,<3级
银川,09日05时,多云,17℃,无持续风向,<3级
银川,09日08时,多云,18℃,无持续风向,<3级
银川,09日11时,多云,22℃,无持续风向,<3级
银川,09日14时,多云,24℃,无持续风向,<3级
银川,09日17时,多云,26℃,无持续风向,<3级
银川,09日20时,晴,21℃,无持续风向,<3级
银川,09日23时,晴,17℃,无持续风向,<3级
银川,10日02时,晴,15℃,无持续风向,<3级
银川,10日05时,晴,15℃,无持续风向,<3级
银川,10日08时,晴,14℃,无持续风向,<3级
银川,10日11时,晴,23℃,无持续风向,<3级
银川,10日14时,晴,27℃,无持续风向,<3级
银川,10日17时,晴,27℃,无持续风向,<3级
银川,10日20时,晴,21℃,无持续风向,<3级
银川,10日23时,晴,19℃,无持续风向,<3级
银川,11日02时,多云,16℃,无持续风向,<3级
银川,11日05时,多云,13℃,无持续风向,<3级
银川,11日08时,多云,14℃,无持续风向,<3级
银川,11日14时,多云,26℃,无持续风向,<3级
银川,11日20时,多云,21℃,无持续风向,<3级
银川,12日02时,阴,16℃,无持续风向,<3级
银川,12日08时,阴,14℃,无持续风向,<3级
银川,12日14时,多云,22℃,无持续风向,<3级
银川,12日20时,多云,19℃,无持续风向,<3级
银川,13日02时,阴,14℃,无持续风向,<3级
银川,13日08时,阴,12℃,无持续风向,<3级
银川,13日14时,小雨,23℃,无持续风向,<3级
银川,13日20时,中雨,17℃,无持续风向,<3级
银川,14日02时,小雨,14℃,无持续风向,<3级
银川,14日08时,中雨,13℃,无持续风向,<3级
银川,14日14时,多云,19℃,无持续风向,<3级
银川,14日20时,多云,12℃,无持续风向,<3级
银川,15日02时,晴,11℃,无持续风向,<3级
郑州,08日08时,晴,25℃,东风,<3级
郑州,08日11时,晴,30℃,东风,<3级
郑州,08日14时,多云,33℃,东风,<3级
郑州,08日17时,晴,34℃,东风,<3级
郑州,08日20时,晴,29℃,东风,<3级
郑州,08日23时,多云,25℃,南风,<3级
郑州,09日02时,多云,23℃,南风,<3级
郑州,09日05时,多云,21℃,南风,<3级
郑州,09日08时,多云,27℃,南风,<3级
郑州,09日11时,多云,32℃,南风,<3级
郑州,09日14时,多云,33℃,南风,<3级
郑州,09日17时,多云,32℃,南风,<3级
郑州,09日20时,多云,30℃,南风,<3级
郑州,09日23时,多云,25℃,西北风,<3级
郑州,10日02时,多云,22℃,西北风,<3级
郑州,10日05时,多云,22℃,西北风,<3级
郑州,10日08时,晴,25℃,西北风,<3级
郑州,10日11时,晴,28℃,东风,<3级
郑州,10日14时,多云,29℃,东风,<3级
郑州,10日17时,多云,30℃,东风,3-4级
郑州,10日20时,晴,27℃,东风,3-4级
郑州,10日23时,晴,24℃,东北风,3-4级
郑州,11日02时,晴,20℃,东北风,3-4级
郑州,11日05时,晴,19℃,东北风,3-4级
郑州,11日08时,晴,19℃,东北风,3-4级
郑州,11日14时,多云,27℃,东北风,3-4级
郑州,11日20时,多云,24℃,东北风,<3级
郑州,12日02时,多云,19℃,东北风,<3级
郑州,12日08时,多云,21℃,东北风,3-4级
郑州,12日14时,多云,27℃,东北风,3-4级
郑州,12日20时,晴,21℃,东北风,<3级
郑州,13日02时,多云,18℃,东北风,<3级
郑州,13日08时,多云,19℃,东北风,3-4级
郑州,13日14时,多云,26℃,东北风,3-4级
郑州,13日20时,多云,22℃,东北风,<3级
郑州,14日02时,多云,18℃,东北风,3-4级
郑州,14日08时,多云,22℃,东北风,3-4级
郑州,14日14时,小雨,23℃,东北风,3-4级
郑州,14日20时,小雨,21℃,东北风,<3级
郑州,15日02时,小雨,18℃,东北风,<3级
南京,08日08时,多云,26℃,东风,<3级
南京,08日11时,晴,33℃,东风,<3级
南京,08日14时,晴,35℃,东风,<3级
南京,08日17时,晴,33℃,东风,<3级
南京,08日20时,晴,28℃,东风,<3级
南京,08日23时,多云,25℃,西北风,<3级
南京,09日02时,晴,23℃,西北风,<3级
南京,09日05时,多云,23℃,西北风,<3级
南京,09日08时,多云,27℃,西北风,<3级
南京,09日11时,多云,32℃,东北风,<3级
南京,09日14时,多云,32℃,东北风,<3级
南京,09日17时,多云,30℃,东北风,<3级
南京,09日20时,多云,27℃,东北风,<3级
南京,09日23时,多云,26℃,东北风,<3级
南京,10日02时,多云,24℃,东北风,<3级
南京,10日05时,多云,23℃,东北风,<3级
南京,10日08时,多云,27℃,东北风,<3级
南京,10日11时,多云,32℃,东风,<3级
南京,10日14时,多云,32℃,东风,<3级
南京,10日17时,晴,29℃,东风,<3级
南京,10日20时,多云,25℃,东风,<3级
南京,10日23时,晴,25℃,东风,<3级
南京,11日02时,多云,24℃,东风,<3级
南京,11日05时,晴,23℃,东风,<3级
南京,11日08时,晴,27℃,东风,<3级
南京,11日14时,晴,31℃,东北风,<3级
南京,11日20时,晴,27℃,东北风,<3级
南京,12日02时,多云,24℃,北风,<3级
南京,12日08时,多云,26℃,北风,<3级
南京,12日14时,多云,29℃,北风,<3级
南京,12日20时,多云,26℃,北风,<3级
南京,13日02时,阴,22℃,北风,<3级
南京,13日08时,阴,25℃,北风,<3级
南京,13日14时,多云,28℃,北风,<3级
南京,13日20时,多云,24℃,北风,<3级
南京,14日02时,多云,23℃,东风,<3级
南京,14日08时,多云,23℃,东风,<3级
南京,14日14时,阴,28℃,东风,<3级
南京,14日20时,阴,24℃,东风,<3级
南京,15日02时,多云,20℃,北风,<3级
武汉,08日08时,晴,26℃,南风,<3级
武汉,08日11时,多云,30℃,南风,<3级
武汉,08日14时,多云,33℃,南风,<3级
武汉,08日17时,晴,33℃,南风,<3级
武汉,08日20时,晴,26℃,南风,<3级
武汉,08日23时,晴,24℃,南风,<3级
武汉,09日02时,多云,23℃,南风,<3级
武汉,09日05时,多云,22℃,南风,<3级
武汉,09日08时,多云,27℃,南风,<3级
武汉,09日11时,多云,32℃,东南风,<3级
武汉,09日14时,多云,33℃,东南风,<3级
武汉,09日17时,多云,33℃,东南风,<3级
武汉,09日20时,多云,26℃,东南风,<3级
武汉,09日23时,晴,26℃,东风,<3级
武汉,10日02时,晴,25℃,东风,<3级
武汉,10日05时,晴,24℃,东风,<3级
武汉,10日08时,晴,25℃,东风,<3级
武汉,10日11时,晴,29℃,西南风,<3级
武汉,10日14时,晴,29℃,西南风,<3级
武汉,10日17时,晴,29℃,西南风,<3级
武汉,10日20时,晴,25℃,西南风,<3级
武汉,10日23时,晴,24℃,东北风,3-4级
武汉,11日02时,晴,23℃,东北风,<3级
武汉,11日05时,晴,23℃,东北风,<3级
武汉,11日08时,晴,24℃,东北风,3-4级
武汉,11日14时,晴,32℃,东北风,3-4级
武汉,11日20时,晴,26℃,东北风,3-4级
武汉,12日02时,晴,24℃,东北风,3-4级
武汉,12日08时,晴,26℃,东北风,3-4级
武汉,12日14时,小雨,29℃,东北风,4-5级
武汉,12日20时,多云,23℃,东北风,4-5级
武汉,13日02时,晴,19℃,东北风,3-4级
武汉,13日08时,晴,21℃,东北风,3-4级
武汉,13日14时,中雨,24℃,北风,3-4级
武汉,13日20时,中雨,20℃,北风,3-4级
武汉,14日02时,多云,18℃,北风,<3级
武汉,14日08时,多云,21℃,北风,<3级
武汉,14日14时,阴,28℃,无持续风向,<3级
武汉,14日20时,阴,22℃,无持续风向,<3级
武汉,15日02时,小雨,19℃,无持续风向,<3级
杭州,08日08时,晴,28℃,东南风,<3级
杭州,08日11时,晴,34℃,东南风,<3级
杭州,08日14时,晴,35℃,东南风,3-4级
杭州,08日17时,晴,34℃,东南风,3-4级
杭州,08日20时,晴,28℃,东南风,3-4级
杭州,08日23时,晴,27℃,南风,3-4级
杭州,09日02时,晴,25℃,南风,3-4级
杭州,09日05时,晴,23℃,南风,3-4级
杭州,09日08时,晴,26℃,南风,<3级
杭州,09日11时,多云,33℃,东北风,<3级
杭州,09日14时,晴,34℃,东北风,3-4级
杭州,09日17时,晴,33℃,东北风,3-4级
杭州,09日20时,多云,30℃,东北风,<3级
杭州,09日23时,阴,28℃,无持续风向,<3级
杭州,10日02时,阴,27℃,无持续风向,<3级
杭州,10日05时,阴,26℃,无持续风向,<3级
杭州,10日08时,阴,28℃,无持续风向,<3级
杭州,10日11时,多云,31℃,东风,4-5级
杭州,10日14时,多云,33℃,东风,4-5级
杭州,10日17时,多云,33℃,东风,4-5级
杭州,10日20时,多云,28℃,东风,3-4级
杭州,10日23时,晴,28℃,无持续风向,<3级
杭州,11日02时,多云,26℃,无持续风向,<3级
杭州,11日05时,多云,25℃,无持续风向,<3级
杭州,11日08时,多云,27℃,无持续风向,<3级
杭州,11日14时,多云,30℃,东北风,4-5级
杭州,11日20时,小雨,28℃,东北风,3-4级
杭州,12日02时,小雨,25℃,东风,<3级
杭州,12日08时,小雨,26℃,东风,3-4级
杭州,12日14时,中雨,26℃,东风,4-5级
杭州,12日20时,小雨,25℃,东风,3-4级
杭州,13日02时,小雨,24℃,东风,3-4级
杭州,13日08时,小雨,24℃,东风,3-4级
杭州,13日14时,小雨,27℃,东风,4-5级
杭州,13日20时,小雨,25℃,东风,4-5级
杭州,14日02时,中雨,24℃,东北风,<3级
杭州,14日08时,中雨,25℃,东北风,3-4级
杭州,14日14时,中雨,26℃,东风,4-5级
杭州,14日20时,小雨,25℃,东风,3-4级
杭州,15日02时,小雨,24℃,东风,3-4级
合肥,08日08时,小雨,25℃,南风,<3级
合肥,08日11时,晴,30℃,南风,<3级
合肥,08日14时,晴,33℃,南风,<3级
合肥,08日17时,晴,32℃,南风,<3级
合肥,08日20时,晴,26℃,南风,<3级
合肥,08日23时,晴,24℃,北风,<3级
合肥,09日02时,多云,23℃,北风,<3级
合肥,09日05时,多云,22℃,北风,<3级
合肥,09日08时,多云,25℃,北风,<3级
合肥,09日11时,多云,30℃,东北风,<3级
合肥,09日14时,多云,31℃,东北风,<3级
合肥,09日17时,多云,31℃,东北风,<3级
合肥,09日20时,多云,23℃,东北风,<3级
合肥,09日23时,阴,22℃,北风,<3级
合肥,10日02时,阴,22℃,北风,<3级
合肥,10日05时,阴,22℃,北风,<3级
合肥,10日08时,阴,24℃,北风,<3级
合肥,10日11时,晴,28℃,东北风,<3级
合肥,10日14时,晴,29℃,东北风,<3级
合肥,10日17时,晴,29℃,东北风,<3级
合肥,10日20时,晴,23℃,东北风,<3级
合肥,10日23时,晴,22℃,东北风,<3级
合肥,11日02时,晴,22℃,东北风,<3级
合肥,11日05时,晴,21℃,东北风,<3级
合肥,11日08时,晴,24℃,东北风,<3级
合肥,11日14时,晴,28℃,东北风,3-4级
合肥,11日20时,晴,20℃,东北风,3-4级
合肥,12日02时,多云,19℃,东北风,<3级
合肥,12日08时,多云,20℃,东北风,<3级
合肥,12日14时,多云,25℃,北风,<3级
合肥,12日20时,多云,22℃,北风,<3级
合肥,13日02时,阴,21℃,东北风,<3级
合肥,13日08时,阴,23℃,东北风,<3级
合肥,13日14时,阴,23℃,北风,<3级
合肥,13日20时,阴,21℃,北风,<3级
合肥,14日02时,多云,20℃,北风,<3级
合肥,14日08时,多云,21℃,北风,<3级
合肥,14日14时,小雨,23℃,东风,<3级
合肥,14日20时,小雨,22℃,东风,<3级
合肥,15日02时,中雨,21℃,西风,<3级
福州,08日08时,小雨,26℃,无持续风向,<3级
福州,08日11时,小雨,26℃,无持续风向,<3级
福州,08日14时,中雨,29℃,无持续风向,<3级
福州,08日17时,中雨,27℃,无持续风向,<3级
福州,08日20时,小雨,26℃,无持续风向,<3级
福州,08日23时,多云,26℃,无持续风向,<3级
福州,09日02时,晴,26℃,无持续风向,<3级
福州,09日05时,晴,25℃,无持续风向,<3级
福州,09日08时,多云,28℃,无持续风向,<3级
福州,09日11时,小雨,29℃,无持续风向,<3级
福州,09日14时,中雨,30℃,无持续风向,<3级
福州,09日17时,中雨,28℃,无持续风向,<3级
福州,09日20时,小雨,27℃,无持续风向,<3级
福州,09日23时,中雨,26℃,无持续风向,<3级
福州,10日02时,多云,25℃,无持续风向,<3级
福州,10日05时,多云,25℃,无持续风向,<3级
福州,10日08时,小雨,26℃,无持续风向,<3级
福州,10日11时,小雨,29℃,无持续风向,<3级
福州,10日14时,中雨,30℃,无持续风向,<3级
福州,10日17时,小雨,29℃,无持续风向,<3级
福州,10日20时,小雨,29℃,无持续风向,<3级
福州,10日23时,中雨,27℃,无持续风向,<3级
福州,11日02时,小雨,25℃,无持续风向,<3级
福州,11日05时,小雨,25℃,无持续风向,<3级
福州,11日08时,小雨,26℃,无持续风向,<3级
福州,11日14时,中雨,30℃,无持续风向,<3级
福州,11日20时,小雨,27℃,无持续风向,<3级
福州,12日02时,小雨,25℃,无持续风向,<3级
福州,12日08时,小雨,27℃,无持续风向,<3级
福州,12日14时,中雨,28℃,无持续风向,<3级
福州,12日20时,中雨,26℃,无持续风向,<3级
福州,13日02时,小雨,25℃,无持续风向,<3级
福州,13日08时,小雨,25℃,无持续风向,<3级
福州,13日14时,小雨,29℃,无持续风向,<3级
福州,13日20时,中雨,26℃,无持续风向,<3级
福州,14日02时,小雨,26℃,无持续风向,<3级
福州,14日08时,小雨,26℃,无持续风向,<3级
福州,14日14时,小雨,27℃,无持续风向,<3级
福州,14日20时,中雨,26℃,无持续风向,<3级
福州,15日02时,中雨,25℃,无持续风向,<3级
南昌,08日08时,多云,26℃,东北风,<3级
南昌,08日11时,晴,32℃,东北风,<3级
南昌,08日14时,晴,33℃,东北风,<3级
南昌,08日17时,晴,31℃,东北风,<3级
南昌,08日20时,晴,28℃,东北风,<3级
南昌,08日23时,晴,26℃,东南风,<3级
南昌,09日02时,晴,24℃,东南风,<3级
南昌,09日05时,晴,24℃,东南风,<3级
南昌,09日08时,晴,27℃,东南风,<3级
南昌,09日11时,晴,32℃,东北风,<3级
南昌,09日14时,晴,33℃,东北风,<3级
南昌,09日17时,晴,33℃,东北风,<3级
南昌,09日20时,晴,28℃,东北风,<3级
南昌,09日23时,晴,26℃,东北风,<3级
南昌,10日02时,晴,25℃,东北风,<3级
南昌,10日05时,晴,25℃,东北风,<3级
南昌,10日08时,晴,25℃,东北风,<3级
南昌,10日11时,多云,30℃,东北风,<3级
南昌,10日14时,多云,32℃,东北风,3-4级
南昌,10日17时,多云,31℃,东北风,3-4级
南昌,10日20时,多云,28℃,东北风,<3级
南昌,10日23时,多云,26℃,东北风,<3级
南昌,11日02时,多云,25℃,东北风,<3级
南昌,11日05时,多云,25℃,东北风,<3级
南昌,11日08时,多云,27℃,东北风,<3级
南昌,11日14时,多云,31℃,东北风,3-4级
南昌,11日20时,多云,27℃,东北风,3-4级
南昌,12日02时,多云,25℃,北风,3-4级
南昌,12日08时,多云,24℃,北风,3-4级
南昌,12日14时,雷阵雨,28℃,北风,3-4级
南昌,12日20时,雷阵雨,24℃,北风,3-4级
南昌,13日02时,雷阵雨,22℃,北风,3-4级
南昌,13日08时,雷阵雨,25℃,北风,3-4级
南昌,13日14时,雷阵雨,27℃,北风,3-4级
南昌,13日20时,雷阵雨,24℃,北风,<3级
南昌,14日02时,雷阵雨,22℃,北风,3-4级
南昌,14日08时,雷阵雨,23℃,北风,3-4级
南昌,14日14时,小雨,24℃,无持续风向,<3级
南昌,14日20时,小雨,22℃,无持续风向,<3级
南昌,15日02时,小雨,21℃,无持续风向,<3级
长沙,08日08时,多云,24℃,南风,<3级
长沙,08日11时,多云,30℃,南风,<3级
长沙,08日14时,多云,31℃,南风,<3级
长沙,08日17时,晴,31℃,南风,<3级
长沙,08日20时,晴,26℃,南风,<3级
长沙,08日23时,晴,24℃,南风,<3级
长沙,09日02时,晴,23℃,南风,<3级
长沙,09日05时,晴,23℃,南风,<3级
长沙,09日08时,晴,26℃,南风,<3级
长沙,09日11时,多云,30℃,南风,<3级
长沙,09日14时,多云,31℃,南风,<3级
长沙,09日17时,晴,31℃,南风,<3级
长沙,09日20时,晴,27℃,南风,<3级
长沙,09日23时,晴,25℃,南风,<3级
长沙,10日02时,晴,24℃,南风,<3级
长沙,10日05时,中雨,24℃,南风,<3级
长沙,10日08时,中雨,24℃,南风,<3级
长沙,10日11时,小雨,27℃,东风,<3级
长沙,10日14时,小雨,27℃,东风,<3级
长沙,10日17时,小雨,27℃,东风,<3级
长沙,10日20时,小雨,25℃,东风,<3级
长沙,10日23时,小雨,24℃,东风,<3级
长沙,11日02时,小雨,24℃,东风,<3级
长沙,11日05时,小雨,23℃,东风,<3级
长沙,11日08时,中雨,23℃,东风,<3级
长沙,11日14时,小雨,25℃,北风,<3级
长沙,11日20时,中雨,25℃,北风,<3级
长沙,12日02时,中雨,24℃,北风,<3级
长沙,12日08时,小雨,23℃,北风,<3级
长沙,12日14时,大雨,23℃,北风,3-4级
长沙,12日20时,小雨,22℃,北风,3-4级
长沙,13日02时,小雨,22℃,西北风,4-5级
长沙,13日08时,小雨,20℃,西北风,4-5级
长沙,13日14时,小雨,21℃,西北风,3-4级
长沙,13日20时,中雨,21℃,西北风,<3级
长沙,14日02时,小雨,20℃,西北风,3-4级
长沙,14日08时,小雨,20℃,西北风,3-4级
长沙,14日14时,小雨,21℃,西北风,<3级
长沙,14日20时,小雨,20℃,西北风,<3级
长沙,15日02时,小雨,20℃,西北风,<3级
贵阳,08日08时,多云,19℃,东风,<3级
贵阳,08日11时,阴,21℃,东风,<3级
贵阳,08日14时,阴,23℃,东风,<3级
贵阳,08日17时,阴,25℃,东风,<3级
贵阳,08日20时,阴,21℃,东风,<3级
贵阳,08日23时,多云,20℃,南风,<3级
贵阳,09日02时,阵雨,20℃,南风,<3级
贵阳,09日05时,阵雨,18℃,南风,<3级
贵阳,09日08时,阴,19℃,南风,<3级
贵阳,09日11时,多云,23℃,南风,<3级
贵阳,09日14时,多云,26℃,南风,<3级
贵阳,09日17时,多云,26℃,南风,<3级
贵阳,09日20时,多云,23℃,南风,<3级
贵阳,09日23时,阴,21℃,南风,<3级
贵阳,10日02时,阴,20℃,南风,<3级
贵阳,10日05时,阴,20℃,南风,<3级
贵阳,10日08时,阴,20℃,南风,<3级
贵阳,10日11时,阵雨,23℃,南风,<3级
贵阳,10日14时,阵雨,25℃,南风,<3级
贵阳,10日17时,阵雨,24℃,南风,<3级
贵阳,10日20时,阵雨,22℃,南风,<3级
贵阳,10日23时,小雨,22℃,南风,<3级
贵阳,11日02时,中雨,21℃,南风,<3级
贵阳,11日05时,小雨,20℃,南风,<3级
贵阳,11日08时,大雨,21℃,南风,<3级
贵阳,11日14时,中雨,24℃,北风,<3级
贵阳,11日20时,中雨,22℃,北风,<3级
贵阳,12日02时,中雨,20℃,东北风,<3级
贵阳,12日08时,小雨,19℃,东北风,<3级
贵阳,12日14时,大雨,23℃,南风,<3级
贵阳,12日20时,中雨,17℃,南风,<3级
贵阳,13日02时,小雨,16℃,南风,<3级
贵阳,13日08时,中雨,17℃,南风,<3级
贵阳,13日14时,阵雨,19℃,南风,<3级
贵阳,13日20时,阵雨,17℃,南风,<3级
贵阳,14日02时,阵雨,16℃,东北风,<3级
贵阳,14日08时,阵雨,16℃,东北风,<3级
贵阳,14日14时,大雨,19℃,无持续风向,<3级
贵阳,14日20时,中雨,19℃,无持续风向,<3级
贵阳,15日02时,中雨,18℃,无持续风向,<3级
成都,08日08时,多云,23℃,无持续风向,<3级
成都,08日11时,多云,28℃,无持续风向,<3级
成都,08日14时,多云,28℃,无持续风向,<3级
成都,08日17时,多云,28℃,无持续风向,<3级
成都,08日20时,多云,25℃,无持续风向,<3级
成都,08日23时,阴,24℃,无持续风向,<3级
成都,09日02时,阵雨,23℃,无持续风向,<3级
成都,09日05时,阵雨,22℃,无持续风向,<3级
成都,09日08时,阵雨,22℃,无持续风向,<3级
成都,09日11时,阴,23℃,无持续风向,<3级
成都,09日14时,阴,25℃,无持续风向,<3级
成都,09日17时,阴,24℃,无持续风向,<3级
成都,09日20时,阴,22℃,无持续风向,<3级
成都,09日23时,阵雨,22℃,无持续风向,<3级
成都,10日02时,阵雨,22℃,无持续风向,<3级
成都,10日05时,阴,21℃,无持续风向,<3级
成都,10日08时,阵雨,22℃,无持续风向,<3级
成都,10日11时,阴,25℃,无持续风向,<3级
成都,10日14时,阴,26℃,无持续风向,<3级
成都,10日17时,阴,27℃,无持续风向,<3级
成都,10日20时,阴,24℃,无持续风向,<3级
成都,10日23时,晴,23℃,无持续风向,<3级
成都,11日02时,阴,22℃,无持续风向,<3级
成都,11日05时,阵雨,21℃,无持续风向,<3级
成都,11日08时,阵雨,21℃,无持续风向,<3级
成都,11日14时,小雨,25℃,无持续风向,<3级
成都,11日20时,中雨,22℃,无持续风向,<3级
成都,12日02时,小雨,21℃,无持续风向,<3级
成都,12日08时,中雨,19℃,无持续风向,<3级
成都,12日14时,中雨,18℃,无持续风向,<3级
成都,12日20时,中雨,21℃,无持续风向,<3级
成都,13日02时,中雨,19℃,无持续风向,<3级
成都,13日08时,小雨,17℃,无持续风向,<3级
成都,13日14时,中雨,19℃,无持续风向,<3级
成都,13日20时,小雨,18℃,无持续风向,<3级
成都,14日02时,中雨,17℃,无持续风向,<3级
成都,14日08时,中雨,18℃,无持续风向,<3级
成都,14日14时,小雨,26℃,无持续风向,<3级
成都,14日20时,小雨,22℃,无持续风向,<3级
成都,15日02时,小雨,19℃,无持续风向,<3级
广州,08日08时,小雨,26℃,无持续风向,<3级
广州,08日11时,小雨,30℃,无持续风向,<3级
广州,08日14时,中雨,32℃,无持续风向,<3级
广州,08日17时,小雨,30℃,无持续风向,<3级
广州,08日20时,小雨,27℃,无持续风向,<3级
广州,08日23时,小雨,26℃,无持续风向,<3级
广州,09日02时,小雨,25℃,无持续风向,<3级
广州,09日05时,中雨,24℃,无持续风向,<3级
广州,09日08时,小雨,27℃,无持续风向,<3级
广州,09日11时,雷阵雨,30℃,无持续风向,<3级
广州,09日14时,雷阵雨,30℃,无持续风向,<3级
广州,09日17时,雷阵雨,29℃,无持续风向,<3级
广州,09日20时,雷阵雨,27℃,无持续风向,<3级
广州,09日23时,雷阵雨,25℃,无持续风向,<3级
广州,10日02时,雷阵雨,25℃,无持续风向,<3级
广州,10日05时,雷阵雨,24℃,无持续风向,<3级
广州,10日08时,雷阵雨,26℃,无持续风向,<3级
广州,10日11时,雷阵雨,29℃,无持续风向,<3级
广州,10日14时,雷阵雨,31℃,无持续风向,<3级
广州,10日17时,雷阵雨,31℃,无持续风向,<3级
广州,10日20时,雷阵雨,28℃,无持续风向,<3级
广州,10日23时,阴,26℃,无持续风向,<3级
广州,11日02时,雷阵雨,25℃,无持续风向,<3级
广州,11日05时,多云,25℃,无持续风向,<3级
广州,11日08时,雷阵雨,26℃,无持续风向,<3级
广州,11日14时,雷阵雨,32℃,无持续风向,<3级
广州,11日20时,雷阵雨,29℃,无持续风向,<3级
广州,12日02时,雷阵雨,26℃,无持续风向,<3级
广州,12日08时,雷阵雨,28℃,无持续风向,<3级
广州,12日14时,雷阵雨,31℃,无持续风向,<3级
广州,12日20时,雷阵雨,28℃,无持续风向,<3级
广州,13日02时,大雨,25℃,无持续风向,<3级
广州,13日08时,中雨,25℃,无持续风向,<3级
广州,13日14时,大雨,30℃,无持续风向,<3级
广州,13日20时,中雨,27℃,无持续风向,<3级
广州,14日02时,雷阵雨,26℃,无持续风向,<3级
广州,14日08时,雷阵雨,26℃,无持续风向,<3级
广州,14日14时,中雨,26℃,无持续风向,<3级
广州,14日20时,中雨,24℃,无持续风向,<3级
广州,15日02时,小雨,23℃,无持续风向,<3级
昆明,08日08时,多云,17℃,无持续风向,<3级
昆明,08日11时,阵雨,21℃,无持续风向,<3级
昆明,08日14时,阵雨,24℃,无持续风向,<3级
